Estimator,relationship,Relatedness_Value,,,,
QGM,Unrelated,0.0168,0,,,
QGM,Unrelated,-0.0159,0,,,
QGM,Unrelated,-0.0911,0,,,
QGM,Unrelated,-0.1605,0,,,
QGM,Unrelated,0.231,0,,,
QGM,Unrelated,0.0357,0,,,
QGM,Unrelated,-0.2397,0,,,
QGM,Unrelated,-0.0268,0,,,
QGM,Unrelated,-0.3896,0,,,
QGM,Unrelated,-0.0767,0,,,
QGM,Unrelated,-0.0115,0,,,
QGM,Unrelated,-0.0847,0,,,
QGM,Unrelated,-0.1136,0,,,
QGM,Unrelated,0.0683,0,,,
QGM,Unrelated,0.2094,0,,,
QGM,Unrelated,0.1944,0,,,
QGM,Unrelated,-0.0733,0,,,
QGM,Unrelated,0.0339,0,,,
QGM,Unrelated,0.1637,0,,,
QGM,Unrelated,0.0148,0,,,
QGM,Unrelated,-0.0538,0,,,
QGM,Unrelated,0.1303,0,,,
QGM,Unrelated,0.2128,0,,,
QGM,Unrelated,-0.0979,0,,,
QGM,Unrelated,-0.0522,0,,,
QGM,Unrelated,-0.0894,0,,,
QGM,Unrelated,-0.1922,0,,,
QGM,Unrelated,-0.0427,0,,,
QGM,Unrelated,-0.0923,0,,,
QGM,Unrelated,-0.0549,0,,,
QGM,Unrelated,0.0916,0,,,
QGM,Unrelated,-0.268,0,,,
QGM,Unrelated,0.247,0,,,
QGM,Unrelated,-0.0596,0,,,
QGM,Unrelated,-0.0646,0,,,
QGM,Unrelated,-0.0606,0,,,
QGM,Unrelated,-0.1861,0,,,
QGM,Unrelated,0.3115,0,,,
QGM,Unrelated,0.0138,0,,,
QGM,Unrelated,-0.0665,0,,,
QGM,Unrelated,-0.0292,0,,,
QGM,Unrelated,-0.0809,0,,,
QGM,Unrelated,0.1608,0,,,
QGM,Unrelated,0.0345,0,,,
QGM,Unrelated,-0.2142,0,,,
QGM,Unrelated,0.2815,0,,,
QGM,Unrelated,0.0069,0,,,
QGM,Unrelated,0.1027,0,,,
QGM,Unrelated,-0.062,0,,,
QGM,Unrelated,-0.0302,0,,,
QGM,Unrelated,0.1202,0,,,
QGM,Unrelated,0.1,0,,,
QGM,Unrelated,-0.0122,0,,,
QGM,Unrelated,-0.1938,0,,,
QGM,Unrelated,-0.1537,0,,,
QGM,Unrelated,0.1514,0,,,
QGM,Unrelated,0.2031,0,,,
QGM,Unrelated,0.0916,0,,,
QGM,Unrelated,-0.2368,0,,,
QGM,Unrelated,-0.3102,0,,,
QGM,Unrelated,0.012,0,,,
QGM,Unrelated,-0.0555,0,,,
QGM,Unrelated,-0.4057,0,,,
QGM,Unrelated,0.0017,0,,,
QGM,Unrelated,-0.2065,0,,,
QGM,Unrelated,0.0346,0,,,
QGM,Unrelated,-0.0906,0,,,
QGM,Unrelated,-0.0206,0,,,
